Instance,Size,Optimal
0,11,0.6198641481852656
1,11,0.665778022248497
2,11,0.6339946629735003
3,11,0.5381948907172824
4,11,0.7980489581846234
5,11,0.7597182927148285
6,11,0.6923272582228941
7,11,0.7239474548707281
8,11,0.6082532031399059
9,11,0.6582189977831391
10,11,0.6979134866186782
11,11,0.6937936358040542
12,11,0.36158988455929675
13,11,0.643643829788082
14,11,0.6301191285387919
15,11,0.703063303616732
16,11,0.6529342845347633
17,11,0.5719687063811433
18,11,0.7736621239584691
19,11,0.8215100532919005
20,11,0.6039693690331019
21,11,0.5840008396636683
22,11,0.7002654382794304
23,11,0.5870423119027616
24,11,0.5639239449897495
25,11,0.6387336447048173
26,11,0.4666562738010482
27,11,0.5130263831246537
28,11,0.6861348432642971
29,11,0.47629352659105795
30,11,0.703414260539075
31,11,0.6779967895254998
32,11,0.7268027539943671
33,11,0.4619450779463765
34,11,0.6811198277526704
35,11,0.7079042104369374
36,11,0.7061402195164916
37,11,0.6969502712354873
38,11,0.7688453773380568
39,11,0.6430490172675668
40,11,0.7597511806820524
41,11,0.27159245295649737
42,11,0.7123503086062363
43,11,0.555894647922259
44,11,0.6559557300705918
45,11,0.6744227970276669
46,11,0.55645877348104
47,11,0.6598082322462533
48,11,0.5287678504945665
49,11,0.6766075491946026
50,11,0.5686466144639117
51,11,0.5775836875834897
52,11,0.6185678851514161
53,11,0.6736624592411472
54,11,0.682132741835624
55,11,0.7001178868315409
56,11,0.6409622310065191
57,11,0.6285944561644837
58,11,0.6925459704070851
59,11,0.7085400424419916
60,11,0.4661506073154812
61,11,0.6502662431286481
62,11,0.6459262407647419
63,11,0.6334533612609957
64,11,0.5393222807815475
65,11,0.6897142768545804
66,11,0.6394986447218494
67,11,0.5099792376225571
68,11,0.6513052226167918
69,11,0.7803850302374272
70,11,0.7536008004241836
71,11,0.7304256520648239
72,11,0.3375609564419678
73,11,0.6590403091541527
74,11,0.539382611840263
75,11,0.7104622278085393
76,11,0.7025420213449446
77,11,0.6672144402633494
78,11,0.5583537659723482
79,11,0.4819834465448475
80,11,0.37602789467798714
81,11,0.7774608632049526
82,11,0.6679041422016521
83,11,0.5662643690579006
84,11,0.6892995599013645
85,11,0.6353074222646182
86,11,0.6397066964662055
87,11,0.4396942650114388
88,11,0.6926367749002211
89,11,0.6406449025471112
90,11,0.7444865687539511
91,11,0.6208151365880067
92,11,0.517993851887793
93,11,0.6330622102055665
94,11,0.6822823466551922
95,11,0.5815540602792773
96,11,0.7655140156408617
97,11,0.6277470136105845
98,11,0.537729512568375
99,11,0.5818520131397866
