Instance,Size,Optimal
0,10,0.6198641481852656
1,10,0.665778022248497
2,10,0.6339946629735004
3,10,0.5381948907172824
4,10,0.7980489581846234
5,10,0.7597182927148285
6,10,0.6923272582228941
7,10,0.7239474548707281
8,10,0.6082532031399059
9,10,0.6582189977831391
10,10,0.6979134866186781
11,10,0.6937936358040541
12,10,0.36158988455929675
13,10,0.6436438297880819
14,10,0.6301191285387919
15,10,0.7030633036167319
16,10,0.6529342845347634
17,10,0.5719687063811434
18,10,0.7736621239584691
19,10,0.8215100532919006
20,10,0.6039693690331018
21,10,0.5840008396636683
22,10,0.7002654382794303
23,10,0.5870423119027616
24,10,0.5639239449897496
25,10,0.6387336447048172
26,10,0.46665627380104824
27,10,0.5130263831246537
28,10,0.686134843264297
29,10,0.476293526591058
30,10,0.7034142605390751
31,10,0.6779967895254998
32,10,0.7268027539943671
33,10,0.4619450779463765
34,10,0.6811198277526705
35,10,0.7079042104369374
36,10,0.7061402195164918
37,10,0.6969502712354874
38,10,0.7688453773380568
39,10,0.6430490172675667
40,10,0.7597511806820525
41,10,0.27159245295649737
42,10,0.7123503086062363
43,10,0.555894647922259
44,10,0.6559557300705918
45,10,0.6744227970276668
46,10,0.55645877348104
47,10,0.6598082322462533
48,10,0.5287678504945665
49,10,0.6766075491946024
50,10,0.5686466144639117
51,10,0.5775836875834897
52,10,0.6185678851514163
53,10,0.6736624592411472
54,10,0.682132741835624
55,10,0.7001178868315407
56,10,0.6409622310065191
57,10,0.6285944561644837
58,10,0.6925459704070851
59,10,0.7085400424419916
60,10,0.4661506073154812
61,10,0.650266243128648
62,10,0.6459262407647419
63,10,0.6334533612609957
64,10,0.5393222807815476
65,10,0.6897142768545804
66,10,0.6394986447218494
67,10,0.5099792376225571
68,10,0.6513052226167919
69,10,0.7803850302374272
70,10,0.7536008004241836
71,10,0.7304256520648239
72,10,0.3375609564419679
73,10,0.6590403091541527
74,10,0.539382611840263
75,10,0.7104622278085393
76,10,0.7025420213449446
77,10,0.6672144402633495
78,10,0.5583537659723482
79,10,0.4819834465448474
80,10,0.37602789467798714
81,10,0.7774608632049527
82,10,0.6679041422016521
83,10,0.5662643690579005
84,10,0.6892995599013645
85,10,0.6353074222646182
86,10,0.6397066964662055
87,10,0.4396942650114388
88,10,0.6926367749002211
89,10,0.6406449025471112
90,10,0.7444865687539511
91,10,0.6208151365880067
92,10,0.517993851887793
93,10,0.6330622102055665
94,10,0.6822823466551922
95,10,0.5815540602792773
96,10,0.7655140156408617
97,10,0.6277470136105844
98,10,0.537729512568375
99,10,0.5818520131397866
